modality,run,case,requested_vision_model,resolved_vision_model,structuring_model,vision_input_tokens,vision_output_tokens,vision_reasoning_tokens,structuring_input_tokens,structuring_output_tokens,latency_seconds,raw_log,error,item_id,fact_id,kind,provenance,expected,matched_value,recovered,vir_item
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v01,msre_v01,coordinate,explicit,"[-0.7366, 0.0]","{""label"": ""inlet_plenum start"", ""value"": [-0.7366, 0.0]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v02,msre_v02,coordinate,explicit,"[0.0, 1.7272]","{""label"": ""core end"", ""value"": [0.0, 1.7272]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v03,msre_v03,coordinate,explicit,"[0.0, 2.1618]","{""label"": ""upper_plenum end"", ""value"": [0.0, 2.1618]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v04,msre_v04,coordinate,explicit,"[1.8288, 2.1618]","{""label"": ""pipe1 end"", ""value"": [1.8288, 2.1618]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v05,msre_v05,coordinate,explicit,"[1.8288, 2.9746]",,False,0.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v06,msre_v06,coordinate,explicit,"[0.762, 2.9746]","{""label"": ""HX_secondary_out"", ""value"": [0.762, 2.9746]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v07,msre_v07,coordinate,explicit,"[-1.7678, 2.9746]","{""label"": ""HX_secondary_in"", ""value"": [-1.7678, 2.9746]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v08,msre_v08,coordinate,explicit,"[-2.2678, 2.9746]","{""label"": ""ref_p"", ""value"": [-2.2678, 2.9746]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v09,msre_v09,coordinate,explicit,"[-1.7678, 1.7272]",,False,0.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v10,msre_v10,coordinate,inferred,"[-0.7366, 1.7272]",,False,0.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v11,msre_v11,coordinate,inferred,"[0.0, 0.0]","{""label"": ""core start"", ""value"": [0.0, 0.0]}",True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v12,msre_v12,length,deduced,1.7272,1.7272,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v13,msre_v13,length,deduced,0.7366,0.7366,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v14,msre_v14,length,deduced,1.7272,1.7272,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v15,msre_v15,length,deduced,0.4346,0.4346,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v16,msre_v16,length,deduced,1.8288,1.8288,True,1.0
