time,HX_Tin_primary,HX_Tin_secondary,HX_Tout_primary,HX_Tout_secondary,primary_mdot,J_core_to_upper_plenum:pressure,J_core_to_upper_plenum:rho,J_core_to_upper_plenum:temperature,J_core_to_upper_plenum:velocity,J_downcomer_to_inlet_plenum:pressure,J_downcomer_to_inlet_plenum:rho,J_downcomer_to_inlet_plenum:temperature,J_downcomer_to_inlet_plenum:velocity,J_inlet_plenum_to_core:pressure,J_inlet_plenum_to_core:rho,J_inlet_plenum_to_core:temperature,J_inlet_plenum_to_core:velocity,J_pipe1_to_pipe2:pressure,J_pipe1_to_pipe2:rho,J_pipe1_to_pipe2:temperature,J_pipe1_to_pipe2:velocity,J_pipe3_to_HX:pressure,J_pipe3_to_HX:rho,J_pipe3_to_HX:temperature,J_pipe3_to_HX:velocity,J_pipe4_to_pipe5:pressure,J_pipe4_to_pipe5:rho,J_pipe4_to_pipe5:temperature,J_pipe4_to_pipe5:velocity,J_pipe5_to_downcomer:pressure,J_pipe5_to_downcomer:rho,J_pipe5_to_downcomer:temperature,J_pipe5_to_downcomer:velocity,J_upper_plenum_to_pipe1:pressure,J_upper_plenum_to_pipe1:rho,J_upper_plenum_to_pipe1:temperature,J_upper_plenum_to_pipe1:velocity,Pump:pressure,Pump:pump_head,Pump:rho,Pump:temperature,Pump:velocity,T_H:pressure,T_H:rho,T_H:temperature,T_H:velocity
0,908.15,908.15,908.15,908.15,0.71747339864,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001,110000,43909.58,2042.9197,908.15,0.001,100000,2042.9197,908.15,0.001
0.2,907.67380642353,824.81670000004,907.5194354778,766.29763422767,16.080572090593,132456.00515316,2042.4711445602,908.948141352,0.073959367599407,167566.51053661,2042.9197000387,908.14999993108,0.068150369486276,167423.4012741,2042.9197000008,908.14999999857,0.068150369486171,110532.66282836,2042.9197168207,908.14997006997,0.66116855506328,125307.21422091,2042.9196999996,908.15000000076,0.67421450132234,140045.64532647,2042.920998235,908.14768997324,0.62126027241844,133457.02631099,2042.9197057449,908.14998977777,0.62126027431458,123663.05448198,2042.9248070453,908.14091273077,0.073959286829175,132773.62108851,43909.58,2042.9197000697,908.14999987597,0.66116855508947,123132.47919157,2043.2723738455,907.52246646711,0.67245405102969
0.4,906.53824773503,824.8167,905.94326193355,745.19309506537,32.638583838921,130922.2660142,2042.0219157645,909.74748084607,0.14413584222587,166062.82447724,2042.9197000756,908.14999986541,0.13832415511119,165901.69434591,2042.9197000013,908.14999999777,0.13832415511118,108440.52432324,2042.9197066115,908.14998823582,1.2885180552259,123529.53840851,2042.9197000027,908.14999999527,1.3139426419726,137849.85514846,2042.921233973,908.14727051069,1.260966050333,130811.72301784,2042.9197043642,908.14999223456,1.2609660548679,122130.09127916,2042.9370719387,908.11908907699,0.14413552029197,130782.13802305,43909.58,2042.9197005474,908.14999902596,1.2885180552456,121421.87274841,2044.1556207111,905.9508528273,1.3066053744135
0.6,904.83433717458,824.81669999977,903.19370040161,748.44832907104,48.610812234161,131675.36776366,2041.5734502325,910.54546221975,0.21182986076148,166767.18588517,2042.9197086277,908.1499846483,0.20601535792607,166620.24473424,2042.9197001646,908.14999970706,0.20601535784534,107200.04621359,2042.919769433,908.14987645374,1.8936740702132,121642.35836339,2042.9196999195,908.15000014315,1.9310393838256,136288.51892028,2042.9687881526,908.06265453277,1.8780403347444,129503.27700336,2042.92062219,908.14835909247,1.8780405514488,122887.88951274,2042.9544316486,908.08819991347,0.21182915138784,129210.41803412,43909.58,2042.9197059134,908.14998947787,1.8936740706699,119531.28589759,2045.6976919846,903.20695376406,1.9144456372512
0.8,903.13895825758,824.81669999587,899.51772407351,750.26753535136,63.790796019255,131946.39872092,2041.1216916419,911.34930312829,0.27616641042086,167001.2789601,2042.9199451891,908.14956372048,0.27034898291161,166862.67694988,2042.9197032477,908.14999422114,0.27034898305081,105129.94827377,2042.9209494237,908.14777682617,2.4688144908738,118992.52986112,2042.9197060704,908.14998919866,2.5175282814565,133809.07603058,2043.3652864809,907.35714149305,2.4645045809377,127132.46970595,2042.9444513131,908.10595851767,2.4645071592944,123164.04224412,2042.9645697061,908.0701606653,0.27616519358532,126821.48096297,43909.58,2042.9198316999,908.14976565848,2.4688144981581,116926.06682191,2047.7610729307,899.53545741867,2.4893407810745
1,901.96156468786,824.81670000013,895.27328681017,750.24204273284,78.024419070085,132268.57262432,2040.6633317906,912.16489005229,0.33649228818637,167282.29293856,2042.9222708946,908.14542545439,0.33067187048281,167153.22233999,2042.9197403499,908.14992820307,0.33067187246583,102698.06789747,2042.9266958533,908.13755186242,3.0080999536459,115880.10317682,2042.9198253806,908.14977690278,3.067454787152,130882.94383233,2044.7135510116,904.95809428536,3.0143978703808,124331.87486419,2043.1555375755,907.73036018593,3.0144104121512,123492.16011027,2042.9531933338,908.09040332069,0.33649046278781,124015.06887752,43909.58,2042.9210662838,908.14756888995,3.0081000022116,113878.72008099,2050.1448989162,895.2937741704,3.0269733214752
1.2,901.44555702273,824.8166999987,890.76807327124,750.02256171364,91.206871073003,132621.34275607,2040.2011053506,912.98735702741,0.39236324877689,167591.31472828,2042.9319685724,908.12816979998,0.38653979985655,167472.52341077,2042.9199192311,908.14960990913,0.38653981097791,100018.81455569,2042.9384198199,908.11669071185,3.5075590151128,112453.13574042,2042.9207728944,908.14809093531,3.5767691391814,127647.68724328,2047.2706134945,900.40816104183,3.523662132228,121230.86072985,2044.0311816253,906.17227468806,3.5236962042841,123851.4573568,2042.9169994892,908.15480517931,0.39236072302346,120924.03230614,43909.58,2042.9260909277,908.13862824245,3.5075591583238,110527.31772331,2052.6761170341,890.78982734148,3.5245479356981
1.4,901.43310573738,824.8167,886.25574954275,749.97432191186,103.27987675223,132989.30708316,2039.7426016622,913.80319988939,0.44353228976608,167914.48692204,2042.9509154364,908.0944565188,0.43770576826653,167806.30265501,2042.9203057846,908.14892209143,0.43770580016604,97203.324995557,2042.9453269394,908.10440046364,3.9649837231175,108853.09986741,2042.9243665651,908.14169650337,4.0432197144246,124234.0508562,2050.5262235676,894.61526055595,3.9900447732338,117952.34777697,2046.1188385828,902.45758259288,3.9901055958821,124226.30247089,2042.8715795378,908.23562359816,0.44352898492895,117676.3783012,43909.58,2042.9353790775,908.12210128558,3.9649839025725,106926.08048756,2055.186966626,886.32212344121,3.9899707915906
1.6,901.67826407391,824.81669999993,881.9473925147,750.02138329128,114.22770694972,133363.76521483,2039.2930844751,914.60305253535,0.48993280905744,168244.50111913,2042.9633568478,908.07231877622,0.48410320674269,168146.87182119,2042.9205215618,908.14853814629,0.48410325576544,94352.218874502,2042.930255932,908.13121720283,4.3797792165715,105205.68785843,2042.9311028495,908.12971023226,4.4661995920625,120759.34478693,2053.7727616771,888.83850235386,4.4129496646242,114607.95169749,2049.379352735,896.65595598759,4.4130288215053,124607.78814077,2042.8468606284,908.27960742272,0.48992866310483,114386.94566959,43909.58,2042.939654739,908.11449334702,4.3797791637614,103259.30337278,2057.583599637,882.05765189148,4.4128768199438
1.8,902.00668946058,824.81670000033,877.99283931032,750.07841742128,124.06791853865,133732.93293137,2038.8504549374,915.39064957759,0.53163938475088,168570.56276205,2042.9442304967,908.10635142943,0.52580676338846,168483.1653337,2042.9198097329,908.14980474581,0.52580679269215,91546.477702463,2042.8949034574,908.19412196185,4.7526127903855,101615.42042731,2042.9348355914,908.12306834277,4.8463891024741,117325.53506822,2056.6762625384,883.67213071461,4.7930713288261,111299.36465565,2053.0780210783,890.07469559015,4.7931531658605,124983.99046678,2042.8705826858,908.23739735622,0.53163433656062,111149.64195517,43909.58,2042.9251667511,908.14027268479,4.7526122899527,99640.846089243,2059.7866849061,878.13757134137,4.7930039932033
