time,CH1:fuel_Fuel_Doppler_Reactivity,Total_Reactivity_Feedback,pke_comp_equal,C1,C2,Pf,reactor:power
0,0,0,0,51763.73209,494.3293921,1,0
0.5,-2.70E-10,-2.70E-10,0,51763.73209,494.3293921,1,0
1,-6.96E-10,-6.96E-10,0,51763.73196,494.329259,0.99999945,0
1.5,-1.27E-09,-1.27E-09,0,51763.73155,494.3289131,0.999998394,0
2,-1.95E-09,-1.95E-09,0,51763.73068,494.3283091,0.999996777,0
2.5,-2.69E-09,-2.69E-09,0,51763.72917,494.3274457,0.999994665,0
3,-3.44E-09,-3.44E-09,0,51763.72689,494.3263563,0.999992166,0
3.5,-4.20E-09,-4.20E-09,0,51763.72372,494.32509,0.99998939,0
4,-4.96E-09,-4.96E-09,0,51763.7196,494.3236961,0.999986425,0
4.5,-5.72E-09,-5.72E-09,0,51763.71446,494.3222162,0.99998334,0
5,-6.47E-09,-6.47E-09,0,51763.70829,494.3206814,0.999980179,0
5.5,-7.21E-09,-7.21E-09,0,51763.70107,494.3191132,0.999976975,0
6,-7.95E-09,-7.95E-09,0,51763.6928,494.3175255,0.999973746,0
6.5,-8.68E-09,-8.68E-09,0,51763.68346,494.315927,0.999970503,0
7,-9.41E-09,-9.41E-09,0,51763.67307,494.3143226,0.999967253,0
7.5,-1.01E-08,-1.01E-08,0,51763.66163,494.3127155,0.999964,0
8,-1.08E-08,-1.08E-08,0,51763.64915,494.3111073,0.999960746,0
8.5,-1.16E-08,-1.16E-08,0,51763.63563,494.3094987,0.999957492,0
9,-1.23E-08,-1.23E-08,0,51763.62108,494.3078904,0.999954239,0
9.5,-1.30E-08,-1.30E-08,0,51763.60551,494.3062824,0.999950987,0
10,-1.37E-08,-1.37E-08,0,51763.58892,494.3046749,0.999947736,0
10.5,-1.42E-08,-1.42E-08,0,51763.57132,494.303068,0.999944486,0
11,-1.45E-08,-1.45E-08,0,51763.5528,494.3015421,0.99994157,0
11.5,-1.47E-08,-1.47E-08,0,51763.5335,494.3001985,0.99993918,0
12,-1.47E-08,-1.47E-08,0,51763.51361,494.2990951,0.999937326,0
12.5,-1.48E-08,-1.48E-08,0,51763.49329,494.2982335,0.999935925,0
13,-1.48E-08,-1.48E-08,0,51763.47267,494.2975785,0.999934866,0
13.5,-1.48E-08,-1.48E-08,0,51763.45186,494.2970812,0.999934048,0
14,-1.48E-08,-1.48E-08,0,51763.43092,494.2966947,0.999933389,0
14.5,-1.48E-08,-1.48E-08,0,51763.40991,494.2963816,0.999932832,0
15,-1.48E-08,-1.48E-08,1,51763.38885,494.2961145,0.999932338,0
15.5,-1.48E-08,-1.48E-08,1,51763.36777,494.2958753,0.99993188,0
16,-1.48E-08,-1.48E-08,1,51763.34667,494.2956524,0.999931444,0
16.5,-1.48E-08,-1.48E-08,1,51763.32556,494.2954389,0.99993102,0
17,-1.48E-08,-1.48E-08,1,51763.30445,494.2952306,0.999930604,0
17.5,-1.48E-08,-1.48E-08,1,51763.28333,494.2950252,0.999930191,0
18,-1.48E-08,-1.48E-08,1,51763.26222,494.2948215,0.99992978,0
18.5,-1.48E-08,-1.48E-08,1,51763.2411,494.2946187,0.99992937,0
19,-1.48E-08,-1.48E-08,1,51763.21998,494.2944163,0.999928961,0
19.5,-1.48E-08,-1.48E-08,1,51763.19886,494.2942143,0.999928553,0
20,-1.48E-08,-1.48E-08,1,51763.17774,494.2940124,0.999928145,0
