condition,case,run,resolved_model,required_block_fraction,component_recall,parameter_precision,parameter_recall,parameter_f1,topology_recall,topology_precision,explicit_missing_markers,assumption_markers,latency_seconds
full_pipeline_existing,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,11,0.0
full_pipeline_existing,MSRE,1,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,40,0.0
llm_only,ABTR,1,gpt-5.2-2025-12-11,0.5555555555555556,0.75,0.4642857142857143,0.22033898305084745,0.2988505747126437,0.0,0.0,7,5,30.957919500011485
llm_only,ABTR,2,gpt-5.2-2025-12-11,0.6666666666666666,0.75,0.4423076923076923,0.19491525423728814,0.27058823529411763,0.0,0.0,14,6,42.53803799999878
llm_only,ABTR,3,gpt-5.2-2025-12-11,0.5555555555555556,0.75,0.575,0.19491525423728814,0.2911392405063291,0.0,0.0,32,7,46.85943369998131
llm_only,MSRE,1,gpt-5.2-2025-12-11,0.5555555555555556,0.375,0.75,0.22602739726027396,0.34736842105263155,0.0,0.0,33,1,53.713371399993775
llm_only,MSRE,2,gpt-5.2-2025-12-11,0.5555555555555556,0.375,0.8,0.3287671232876712,0.4660194174757281,0.0,0.0,36,8,53.31047580001177
llm_only,MSRE,3,gpt-5.2-2025-12-11,0.5555555555555556,0.375,0.8032786885245902,0.3356164383561644,0.4734299516908213,0.2727272727272727,0.17647058823529413,29,10,48.68837409999105
no_intermediate_file,ABTR,1,gpt-5.2-2025-12-11,1.0,0.9166666666666666,0.5645161290322581,0.2966101694915254,0.3888888888888889,0.0,0.0,27,2,45.717912500025705
no_intermediate_file,ABTR,2,gpt-5.2-2025-12-11,1.0,0.9166666666666666,0.47619047619047616,0.2542372881355932,0.3314917127071823,0.0,0.0,18,3,45.548291899991455
no_intermediate_file,ABTR,3,gpt-5.2-2025-12-11,1.0,0.9166666666666666,0.5111111111111111,0.19491525423728814,0.2822085889570552,0.0,0.0,13,5,50.66341469998588
no_intermediate_file,MSRE,1,gpt-5.2-2025-12-11,1.0,0.375,0.8,0.3287671232876712,0.4660194174757281,0.0,0.0,59,10,60.15515490001417
no_intermediate_file,MSRE,2,gpt-5.2-2025-12-11,1.0,0.375,0.819672131147541,0.3424657534246575,0.4830917874396135,0.0,0.0,28,7,49.28223770001205
no_intermediate_file,MSRE,3,gpt-5.2-2025-12-11,1.0,0.375,0.819672131147541,0.3424657534246575,0.4830917874396135,0.0,0.0,33,10,56.15500250001787
no_validator,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,ABTR,2,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,ABTR,3,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,0.9,1.0,0,11,0.0
no_validator,MSRE,1,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
no_validator,MSRE,2,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
no_validator,MSRE,3,gpt-5.2-2025-12-11,1.0,0.9583333333333334,1.0,0.9794520547945206,0.9896193771626297,0.9090909090909091,1.0,0,39,0.0
validator_repair,ABTR,1,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,28.21264469999005
validator_repair,ABTR,2,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,30.844983199989656
validator_repair,ABTR,3,gpt-5.2-2025-12-11,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0,10,32.648615600017365
validator_repair,MSRE,1,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,34.17369470000267
validator_repair,MSRE,2,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,31.645096299995203
validator_repair,MSRE,3,gpt-5.2-2025-12-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,39,33.33094820001861
