IMAGE-DERIVED FACTS
- coordinate_system.plane: YZ
- coordinate_system.x: 0
- coordinate_system.y_positive: right
- coordinate_system.z_positive: up
- coordinate_system.gravity: None
- components.Pipe2.position[0]: 0.0
- components.Pipe2.position[1]: 0.0
- components.Pipe2.position[2]: 2.3
- components.Pipe2.orientation[0]: 0.0
- components.Pipe2.orientation[1]: 0.0
- components.Pipe2.orientation[2]: -1.0
- components.Pipe2.length_m: 1.5
- components.CH1.position[0]: 0.0
- components.CH1.position[1]: -1.0
- components.CH1.position[2]: 0.8
- components.CH1.orientation[0]: 0.0
- components.CH1.orientation[1]: 0.0
- components.CH1.orientation[2]: -1.0
- components.CH1.length_m: 0.8
- components.CH2.position[0]: 0.0
- components.CH2.position[1]: -0.5
- components.CH2.position[2]: 0.8
- components.CH2.orientation[0]: 0.0
- components.CH2.orientation[1]: 0.0
- components.CH2.orientation[2]: -1.0
- components.CH2.length_m: 0.8
- components.CH3.position[0]: 0.0
- components.CH3.position[1]: 0.0
- components.CH3.position[2]: 0.8
- components.CH3.orientation[0]: 0.0
- components.CH3.orientation[1]: 0.0
- components.CH3.orientation[2]: -1.0
- components.CH3.length_m: 0.8
- components.CH4.position[0]: 0.0
- components.CH4.position[1]: 0.5
- components.CH4.position[2]: 0.8
- components.CH4.orientation[0]: 0.0
- components.CH4.orientation[1]: 0.0
- components.CH4.orientation[2]: -1.0
- components.CH4.length_m: 0.8
- components.CH5.position[0]: 0.0
- components.CH5.position[1]: 1.0
- components.CH5.position[2]: 0.8
- components.CH5.orientation[0]: 0.0
- components.CH5.orientation[1]: 0.0
- components.CH5.orientation[2]: -1.0
- components.CH5.length_m: 0.8
- components.Pipe1.position[0]: 0.0
- components.Pipe1.position[1]: 0.0
- components.Pipe1.position[2]: 0.0
- components.Pipe1.orientation[0]: 0.0
- components.Pipe1.orientation[1]: 0.0
- components.Pipe1.orientation[2]: -1.0
- components.Pipe1.length_m: 0.6
- junctions.Branch2.type: PBBranch
- junctions.Branch2.connectivity.inputs[0]: Pipe2(out)
- junctions.Branch2.connectivity.outputs[0]: CH1(in)
- junctions.Branch2.connectivity.outputs[1]: CH2(in)
- junctions.Branch2.connectivity.outputs[2]: CH3(in)
- junctions.Branch2.connectivity.outputs[3]: CH4(in)
- junctions.Branch2.connectivity.outputs[4]: CH5(in)
- junctions.Branch2.Area_m2: None
- junctions.Branch2.K: None
- junctions.Branch1.type: PBBranch
- junctions.Branch1.connectivity.inputs[0]: CH1(out)
- junctions.Branch1.connectivity.inputs[1]: CH2(out)
- junctions.Branch1.connectivity.inputs[2]: CH3(out)
- junctions.Branch1.connectivity.inputs[3]: CH4(out)
- junctions.Branch1.connectivity.inputs[4]: CH5(out)
- junctions.Branch1.connectivity.outputs[0]: Pipe1(in)
- junctions.Branch1.Area_m2: None
- junctions.Branch1.K: None
- boundary_locations_and_targets.inlet.location[0]: 0.0
- boundary_locations_and_targets.inlet.location[1]: 0.0
- boundary_locations_and_targets.inlet.location[2]: 2.3
- boundary_locations_and_targets.inlet.target: Pipe2(in)
- boundary_locations_and_targets.outlet.location[0]: 0.0
- boundary_locations_and_targets.outlet.location[1]: 0.0
- boundary_locations_and_targets.outlet.location[2]: -0.6
- boundary_locations_and_targets.outlet.target: Pipe1(out)
