time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,Core_vel_in,HX_Tin_p,HX_Tout_p,hx_j1:pressure,hx_j1:rho,hx_j1:temperature,hx_j1:velocity,hx_j2:pressure,hx_j2:rho,hx_j2:temperature,hx_j2:velocity,j1:pressure,j1:rho,j1:temperature,j1:velocity,j2:pressure,j2:rho,j2:temperature,j2:velocity,j3:pressure,j3:rho,j3:temperature,j3:velocity,j4:pressure,j4:rho,j4:temperature,j4:velocity,j5:pressure,j5:rho,j5:temperature,j5:velocity,j_c_up:pressure,j_c_up:rho,j_c_up:temperature,j_c_up:velocity,j_dn_pl:pressure,j_dn_pl:rho,j_dn_pl:temperature,j_dn_pl:velocity,j_ip_c:pressure,j_ip_c:rho,j_ip_c:temperature,j_ip_c:velocity,j_up_ps1:pressure,j_up_ps1:rho,j_up_ps1:temperature,j_up_ps1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,100000,100000,908.15,908.15,0.001,908.15,908.15,100000,2010.7066504,824.8167,0.001,100000,2010.7066504,824.8167,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,100000,2196.4297,908.15,0.001,110000,43909.58,2196.4297,908.15,0.001
0.1,174057.38199166,136509.69110962,908.49266776904,908.52383984877,0.01001622454569,908.01622237637,907.96593603162,211700.33877278,2010.698109182,824.8342024959,1.6001079538489,207102.00314538,2010.7042526698,824.82161338149,1.6001079538489,113950.15253691,2196.4296999996,908.15000000063,0.31715750486481,126965.33045444,2196.4297000004,908.14999999921,0.32341554560824,124751.41634439,2196.5326467178,907.96682078685,0.31384025056651,144018.47589401,2196.4296999994,908.15000000104,0.2776155986233,137730.09904947,2196.4296999997,908.15000000062,0.27761559862401,136508.45844266,2196.2206119017,908.52204287956,0.035477721780976,174185.1540925,2196.4297000002,908.14999999965,0.030453589909654,174056.59954433,2196.4297000011,908.14999999806,0.030453589909592,127063.75486718,2196.4296989263,908.1500019105,0.035477705306141,134567.18787678,43909.58,2196.4296999996,908.15000000065,0.31715750486487
0.3,170901.93512701,133302.15864395,908.89014064165,909.27160541137,0.031578113070641,907.97468348537,907.40392813181,65278.615735942,2010.6451889483,824.94264559784,1.6004862640237,71567.457524957,2010.6802267279,824.87084686906,1.6004862640201,111256.62921222,2196.4297000101,908.14999998203,0.90314473947126,125374.04419398,2196.4297000071,908.1499999873,0.92096527499278,123213.24767491,2196.8474717902,907.40663382524,0.90284526435664,141318.82362473,2196.4297031749,908.14999435066,0.87514862239096,134044.77219117,2196.4296999786,908.15000003803,0.87514862245321,133292.16489648,2195.801382663,909.26800237896,0.10102724023881,171067.12888643,2196.4296999933,908.15000001189,0.096001151918884,170893.20035226,2196.4297000126,908.14999997766,0.096001151916509,123844.18541144,2196.4296894688,908.15001873885,0.10102709986205,132329.63202179,43909.58,2196.4297000042,908.14999999252,0.90314473948385
0.5,171752.23632864,134206.27053836,908.77534673499,910.01950457939,0.052319133344262,908.12545221848,906.55758991979,123877.97736678,2010.5203710212,825.19842003847,1.6010247592824,125810.41905349,2010.6036043484,825.02785994181,1.6010247592824,110311.49067878,2196.4296999946,908.15000000953,1.4668924570289,123587.63812527,2196.429699999,908.15000000175,1.4958366649417,121391.59380271,2197.3223408475,906.56167108981,1.469966664917,140087.62107298,2196.4322025573,908.14554705102,1.450003115857,133292.51767581,2196.429711785,908.14997903029,1.4500031237979,134179.91160591,2195.3810685434,910.01589227148,0.16408912106087,171874.69123498,2196.4297000008,908.1499999985,0.15906094873583,171727.71610035,2196.4296999968,908.15000000561,0.15906094873585,124738.50673105,2196.4296694221,908.15005440906,0.16408874931674,130982.0705667,43909.58,2196.4297000007,908.14999999882,1.4668924570288
0.7,171762.86678679,134247.71142848,908.35848897398,910.76754378648,0.071928607291075,908.18588413558,905.46335942459,123894.01864035,2010.307424662,825.63478552872,1.6016550749928,125825.67418568,2010.4498854955,825.3428575911,1.6016550749928,108463.13476686,2196.4296997758,908.15000039892,2.0000697363351,121266.25826469,2196.4296999993,908.1500000013,2.0395344114791,119115.79510804,2197.9366250109,905.46863877062,2.0076869636852,137909.98368783,2196.4795494063,908.06129998882,1.9936840150565,131196.04053831,2196.430847273,908.14795858892,1.9936842324992,134198.71784802,2194.9606709126,910.76393076045,0.22373145947334,171853.91671868,2196.4297000016,908.1499999972,0.21870111938685,171716.10992516,2196.4296999965,908.15000000622,0.21870111938683,124762.85119253,2196.4296509599,908.15008725998,0.22373074455604,128875.71680244,43909.58,2196.4296999907,908.15000001654,2.0000697363341
0.9,171912.91509671,134432.08030915,908.00412222271,911.51572523021,0.090180455491721,908.16457258838,904.17234980527,123902.00068155,2009.9995124474,826.26575318158,1.602319199499,125833.28863953,2010.20460328,825.84548508192,1.6023191994989,106360.3831234,2196.4296976426,908.15000419463,2.4964151372188,118587.02849912,2196.4296999881,908.15000002111,2.5456735258627,116509.60496242,2198.6616375986,904.17858078535,2.5093685429871,135410.79774315,2196.7385193262,907.60049941953,2.4998054756802,128789.26388184,2196.4502469167,908.11343965003,2.4998071587209,134355.76702087,2194.5401933273,911.51211151724,0.27925383867927,171966.45262226,2196.4297000018,908.14999999685,0.27422128247202,171839.19455942,2196.4296999966,908.15000000609,0.27422128247204,124926.34445401,2196.4296594978,908.15007206803,0.27925267165116,126459.1476688,43909.58,2196.4296997404,908.15000046197,2.4964151372059
1.1,172126.15426179,134681.90246877,907.90235120202,912.26404969681,0.10692302470419,908.14665970391,902.73542265524,123900.61108252,2009.5980346886,827.08845350707,1.6029746020818,125832.01278919,2009.8635801165,826.54430304003,1.6029746020817,104073.20923694,2196.4296901536,908.15001752036,2.9516310748287,115663.96918856,2196.4296998058,908.15000034551,3.0098716247686,113674.84137305,2199.4687939028,902.74235960355,2.9704115784055,132695.4539969,2197.403392398,906.41745124907,2.9639822738165,126176.33294293,2196.5759256985,907.88981192438,2.9639884548121,134575.24082516,2194.1196353654,912.26043529295,0.33017548281652,172138.32246082,2196.4297000017,908.14999999695,0.32514065584601,172022.49009993,2196.4296999977,908.15000000409,0.32514065584601,125152.8908723,2196.4297145026,908.14997419463,0.33017379641021,123825.28950782,43909.58,2196.4296979514,908.1500036452,2.9516310747668
1.3,172373.1778635,134966.17430112,907.98968952188,913.01251750433,0.12207901465758,908.14418954745,901.19824276315,123889.68343218,2009.1107452567,828.08699742479,1.6035943344268,125821.6820779,2009.4307025972,827.43134713684,1.6035943344266,101696.06899482,2196.4296811794,908.15003348866,3.3635788078036,112619.70434505,2196.4296986821,908.15000234496,3.4299477659463,110723.45102613,2200.3324162711,901.20566499806,3.3884156905442,129869.01434854,2198.4252711398,904.599161673,3.3840317255046,123453.53631526,2196.9959914774,907.14236391918,3.3840454138155,134827.68862886,2193.6989968466,913.00890240816,0.37625713236506,172342.25123244,2196.429700002,908.14999999638,0.37121998775487,172238.12512595,2196.4296999999,908.15000000016,0.3712199877549,125412.70496246,2196.4297907252,908.14983856722,0.37625487608014,121084.44320916,43909.58,2196.429692562,908.15001323488,3.3635788076802
1.5,172638.95848663,135268.49536017,908.11193441859,913.76112881807,0.13563857657695,908.14541330922,899.59977344671,123869.80835261,2008.5500791465,829.23590338828,1.6041640778302,125802.8472899,2008.9157083874,828.4866631405,1.60416407783,99319.182615828,2196.4296899024,908.15001796726,3.7320788016161,109567.91417875,2196.4296954127,908.15000816247,3.8057188725625,107761.07190323,2201.230589148,899.6074926193,3.7629846809593,127030.34243493,2199.5581415084,902.583378099,3.7597724446117,120712.74332279,2197.8526974408,905.61797608403,3.7597935062274,135098.03604939,2193.2782776778,913.7575130288,0.41747871029356,172564.96082773,2196.4297000027,908.14999999516,0.41243923864087,172472.32992913,2196.4297000029,908.14999999492,0.41243923864088,125690.43831128,2196.4298100702,908.14980414559,0.41747582773401,118340.10469509,43909.58,2196.4296870085,908.15002311647,3.7320788015944
1.7,172923.1908937,135588.30467506,908.1786988309,914.50988375309,0.14762301595685,908.14610437148,897.97228988265,123842.03027453,2007.93193803,830.50258600415,1.6046784084516,125776.48556705,2008.3325447845,829.68167052352,1.6046784084513,97056.210267961,2196.4297265472,908.14995276299,4.0577970508877,106667.34435873,2196.42969176,908.15001466193,4.1378640806576,104882.8703899,2202.1451557294,897.98014994776,4.0946080612861,124285.45350804,2200.6443543248,900.6506150804,4.0918870767855,118069.43838503,2199.0504671537,903.48671324965,4.0919120400165,135386.83149784,2192.8574777942,914.5062672701,0.45391470498712,172807.28463275,2196.4297000025,908.1499999956,0.4488729220442,172725.86349361,2196.4297000053,908.14999999065,0.4488729220442,125986.60954879,2196.4297189676,908.14996624983,0.45391115059856,115728.05172143,43909.58,2196.4296947614,908.15000932127,4.0577970512388
